Model,Accuracy,Precision,Recall,F1-score,Training Time
Logistic Regression,0.927571283095723,0.40385685147413314,0.7393075356415478,0.5223647919414798,0.19672751426696777
Random Forest,0.9282441082339249,0.4102333931777379,0.7756279701289884,0.536636918741193,6.516310453414917
Linear SVM,0.9222977887692755,0.3839020122484689,0.7447386286490156,0.5066389562406188,0.2559788227081299
